,id,sample,unac,cons,submitdate,lastpage,lan,seed,startdate,datestamp,gender,age,english,pre_happy,difficulties,post_happy,own_definition,synthetic_voices,daily_encounter,negative_experience,familiar_definition,agree_definition,verification,user_comment,voice_gender,google_pitch,sample_id,pitch_weighted,pitch_mean,pitch_median,pitch_std
0,2,01_sample_22967_p-10_f.wav,29.0,13.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,22967,196.3264958169721,332.90278400367094,167.52681909510437,396.0050440823331
1,2,02_sample_22967_p-10_m.wav,25.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,22967,142.34470599123688,291.85967294884466,106.66129674258718,425.23396481496906
3,2,04_sample_22967_p+10_m.wav,43.0,16.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,22967,249.22199487822223,360.4410379690174,240.7921557344637,369.23328726668245
4,2,05_sample_2994_p-10_f.wav,79.0,56.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,2994,202.33791737484293,310.9071040223541,179.91676553935082,329.16252881248386
5,2,06_sample_2994_p-10_m.wav,82.0,71.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,2994,165.9283985826567,275.97075480642644,116.14600912171534,328.4837477044902
6,2,07_sample_2994_p+10_f.wav,88.0,79.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,2994,380.8630534382837,440.92482495103326,393.2270699053482,260.5064653818536
8,2,09_sample_3913_p-10_f.wav,40.0,14.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,3913,261.07019992362484,553.3163510693406,350.316545049076,537.6984207684052
10,2,11_sample_3913_p+10_f.wav,12.0,3.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,3913,379.465102900006,602.0160933138437,435.16173461213066,497.3844204687591
11,2,12_sample_3913_p+10_m.wav,21.0,9.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,3913,292.5490375454518,378.3708576167281,268.1856292182659,307.84455953319934
15,2,16_sample_4382_p+10_m.wav,83.0,67.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,4382,275.41744088918904,413.2284195527813,298.70306753743336,368.5712146843281
