,time,frequency,confidence
0,0.0,547.1255182978961,0.14131773
1,0.01,547.1255182978961,0.14131773
2,0.02,547.1255182978961,0.14131773
3,0.03,551.6789893858704,0.2625661
4,0.04,1038.6821350699884,0.012468781
5,0.05,1036.0022110728787,0.01686587
6,0.06,32.4101544533815,0.0717643
7,0.07,586.3317426833204,0.058052696
8,0.08,596.2561994559694,0.09091674
9,0.09,79.91722843112873,0.09139327
10,0.1,80.14716015327876,0.11270983
11,0.11,32.737739644355564,0.064661995
12,0.12,32.25893289897479,0.34990862
13,0.13,199.7119428783424,0.21247411
14,0.14,222.22060540768888,0.5845518
15,0.15,228.71609664400944,0.36039707
16,0.16,228.68723694579091,0.35937172
17,0.17,239.06587689889957,0.44535562
18,0.18,251.79583079656862,0.4320416
19,0.19,261.53026093616717,0.46713457
20,0.2,277.17117461068324,0.4273872
21,0.21,294.79342757987513,0.5586214
22,0.22,302.6461344227693,0.8053531
23,0.23,311.46459144989075,0.85874975
24,0.24,315.15027253644,0.9100598
25,0.25,316.97226499883755,0.82089514
26,0.26,317.7560292067895,0.6508606
27,0.27,317.9679894226081,0.44971824
28,0.28,324.79534750583497,0.5455539
29,0.29,328.0621864680778,0.3695126
30,0.3,1960.769413538135,0.20683534
31,0.31,1973.039526823425,0.081542686
32,0.32,1971.7286076856612,0.034162473
33,0.33,1959.963955426345,0.029273799
34,0.34,1952.3363616633333,0.054846786
35,0.35,1945.5820993533762,0.07764064
36,0.36,1948.7262392436342,0.092416435
37,0.37,1945.3842458431232,0.06205442
38,0.38,982.9820620941638,0.02971879
39,0.39,986.7288568549059,0.015711103
40,0.4,1046.4159701716007,0.014462363
41,0.41,972.7090382502493,0.028008567
42,0.42,1048.0241957741782,0.02167587
43,0.43,659.0992490433986,0.07053677
44,0.44,580.3235022302499,0.066575915
45,0.45,583.2200010806994,0.05265793
46,0.46,1165.3408751335462,0.03931663
47,0.47,283.9279343403776,0.035823274
48,0.48,284.88441360911384,0.026192117
49,0.49,273.7596250853763,0.063277334
50,0.5,243.40009155633024,0.43092948
51,0.51,239.76359757030255,0.5885803
52,0.52,235.1276034857111,0.6136185
53,0.53,231.62340277109448,0.6736438
54,0.54,228.43144582601025,0.7686717
55,0.55,221.79010581490274,0.66990954
56,0.56,213.4308268495627,0.70407003
57,0.57,204.8311323023969,0.7334047
58,0.58,195.40242253593274,0.7443336
59,0.59,189.00490938226682,0.81383514
60,0.6,184.38330308632345,0.88627905
61,0.61,178.85680770646138,0.8179251
62,0.62,174.63177452100444,0.9091601
63,0.63,171.17024045340514,0.8929878
64,0.64,167.45921473004216,0.9012593
65,0.65,164.68377403382186,0.87358063
66,0.66,161.02762493246132,0.80878085
67,0.67,158.6955758143331,0.905311
68,0.68,158.48867998714329,0.924113
69,0.69,158.42601305783444,0.91069907
70,0.7,157.4504667671189,0.87017685
71,0.71,155.44368975195385,0.8152073
72,0.72,152.40930340169572,0.63001984
73,0.73,146.89130942940292,0.6310619
74,0.74,145.11590341987895,0.47500506
75,0.75,277.3896543498879,0.26500365
76,0.76,281.9041264778568,0.1537082
77,0.77,289.2975632412971,0.29731974
78,0.78,291.3875715730337,0.31107748
79,0.79,291.5314061734665,0.3040208
80,0.8,282.3931764410777,0.22491732
81,0.81,275.17870374833177,0.07441431
82,0.82,1975.5090513192056,0.0437903
83,0.83,1966.2290892138221,0.07008802
84,0.84,989.393283850289,0.1351924
85,0.85,1971.742094210332,0.15572152
86,0.86,1177.9678100881463,0.118407495
87,0.87,266.2727736693011,0.24188532
88,0.88,225.18969300600162,0.46178684
89,0.89,211.33642167529547,0.47941312
90,0.9,203.15097142703166,0.57048506
91,0.91,199.71113326829797,0.6011319
92,0.92,195.43502906475936,0.49798116
93,0.93,189.66598133422542,0.6127432
94,0.94,183.3871172289982,0.6722129
95,0.95,170.15320354440573,0.5409599
96,0.96,165.28051347353357,0.7028291
97,0.97,158.36807935212272,0.7842262
98,0.98,154.87311108969914,0.8954568
99,0.99,151.8437319434136,0.828626
100,1.0,148.1159760523071,0.792881
101,1.01,144.65478045828146,0.80275136
102,1.02,140.66764463956036,0.83633184
103,1.03,138.43745047515205,0.9008607
104,1.04,137.8207673204149,0.8902984
105,1.05,137.0009532827093,0.87406975
106,1.06,135.74775466809314,0.8456442
107,1.07,132.5512494174012,0.77666706
108,1.08,130.58369368304662,0.8773145
109,1.09,130.53579670229882,0.90608424
110,1.1,131.2445823450665,0.90273225
111,1.11,131.42662011539875,0.68088394
112,1.12,133.48932250525206,0.16340734
113,1.13,143.7527882597602,0.04483556
114,1.14,33.253460669322614,0.034003265
115,1.15,33.05775385699669,0.21364705
116,1.16,33.49266100678007,0.057483356
117,1.17,33.508155436489446,0.10252144
118,1.18,32.560357946066965,0.17165008
119,1.19,32.29273515404809,0.03679606
120,1.2,662.7208469922516,0.05163845
121,1.21,640.0253304116312,0.00936492
122,1.22,159.7041289470643,0.03374626
123,1.23,266.07839013612045,0.1691187
124,1.24,118.60763660762314,0.39610067
125,1.25,116.82879903486862,0.18185596
126,1.26,167.51838317256897,0.3605954
127,1.27,175.0647888792492,0.46430275
128,1.28,184.1768877388192,0.42223224
129,1.29,202.93446041477375,0.2801489
130,1.3,207.534729167422,0.67490053
131,1.31,208.86965148680034,0.9021437
132,1.32,209.6911884262826,0.94036794
133,1.33,209.33914529594603,0.90325135
134,1.34,207.56656335548598,0.8957179
135,1.35,205.4180925234887,0.90039206
136,1.36,202.72826068328268,0.74467
137,1.37,195.34089422245745,0.35976714
138,1.38,186.19678402624046,0.7737582
139,1.39,181.6575229839999,0.75655663
140,1.4,173.80803292443056,0.7937072
141,1.41,168.84740069334472,0.80564773
142,1.42,164.95186613758094,0.8965634
143,1.43,163.21750372300744,0.9309064
144,1.44,161.521254339098,0.9030279
145,1.45,159.81700071382238,0.8075786
146,1.46,157.22013224013074,0.739057
147,1.47,154.33973762637441,0.5298425
148,1.48,151.29369376344152,0.4056665
149,1.49,134.70892423329934,0.1702081
150,1.5,108.61018563445249,0.08850835
151,1.51,32.6440453748041,0.04579417
152,1.52,1152.7925043039736,0.04961989
153,1.53,344.61280941600995,0.04392416
154,1.54,341.23276344046394,0.17132878
155,1.55,330.05626067191383,0.1730008
156,1.56,983.3545587480722,0.25941485
157,1.57,200.400995698575,0.31337634
158,1.58,203.04354303612544,0.5520165
159,1.59,203.54564185393593,0.6619086
160,1.6,205.64415003854532,0.78432
161,1.61,208.0473317724196,0.87963444
162,1.62,210.19008819122095,0.92394173
163,1.63,210.9795303795917,0.9558102
164,1.64,210.3410136576369,0.9408179
165,1.65,207.01160408414967,0.8739619
166,1.66,202.79372390747415,0.8239172
167,1.67,198.40576302194208,0.8419181
