,sample,feature,pitch,p_value,mWUT_result,bh
0,2967,unac,10.0,0.6857935628685345,no difference,0.9825815319189385
1,2967,unac,-10.0,0.8760819420036723,no difference,0.9825815319189385
2,2967,cons,10.0,0.7561788566242409,no difference,0.9825815319189385
3,2967,cons,-10.0,0.6597274413290997,no difference,0.9825815319189385
4,2994,unac,10.0,0.8721067416943202,no difference,0.9825815319189385
5,2994,unac,-10.0,0.19426618476615698,no difference,0.9825815319189385
6,2994,cons,10.0,0.8734912787807736,no difference,0.9825815319189385
7,2994,cons,-10.0,0.5909413380744126,no difference,0.9825815319189385
8,3913,unac,10.0,0.5415945249648308,no difference,0.9825815319189385
9,3913,unac,-10.0,0.9215151543022673,no difference,0.9825815319189385
10,3913,cons,10.0,0.3660218557303687,no difference,0.9825815319189385
11,3913,cons,-10.0,0.7425957953377234,no difference,0.9825815319189385
12,4382,unac,10.0,0.9536791258527673,no difference,0.9825815319189385
13,4382,unac,-10.0,0.5444172598463335,no difference,0.9825815319189385
14,4382,cons,10.0,0.5084097228129822,no difference,0.9825815319189385
15,4382,cons,-10.0,0.46792285287274005,no difference,0.9825815319189385
16,5213,unac,10.0,0.368595538445169,no difference,0.9825815319189385
17,5213,unac,-10.0,0.1370153147032459,no difference,0.9825815319189385
18,5213,cons,10.0,0.18985543335106858,no difference,0.9825815319189385
19,5213,cons,-10.0,0.18255278869993385,no difference,0.9825815319189385
20,6037,unac,10.0,0.37297286876483515,no difference,0.9825815319189385
21,6037,unac,-10.0,0.4453944545618296,no difference,0.9825815319189385
22,6037,cons,10.0,0.4869911379499027,no difference,0.9825815319189385
23,6037,cons,-10.0,0.3132611469708043,no difference,0.9825815319189385
24,f51c,unac,10.0,0.9650001142661959,no difference,0.9825815319189385
25,f51c,unac,-10.0,0.7125793224678625,no difference,0.9825815319189385
26,f51c,cons,10.0,0.7091637788338392,no difference,0.9825815319189385
27,f51c,cons,-10.0,0.43754055067801567,no difference,0.9825815319189385
28,fbed,unac,10.0,0.5496806298942098,no difference,0.9825815319189385
29,fbed,unac,-10.0,0.9299641038063045,no difference,0.9825815319189385
30,fbed,cons,10.0,0.6755201945069833,no difference,0.9825815319189385
31,fbed,cons,-10.0,0.8432387097033534,no difference,0.9825815319189385
32,fd2b,unac,10.0,0.7487207190964007,no difference,0.9825815319189385
33,fd2b,unac,-10.0,0.29715137872214914,no difference,0.9825815319189385
34,fd2b,cons,10.0,0.5610625489154046,no difference,0.9825815319189385
35,fd2b,cons,-10.0,0.5279450144689043,no difference,0.9825815319189385
36,7699,unac,10.0,0.12470930799890938,no difference,0.9825815319189385
37,7699,unac,-10.0,0.9763179145230513,no difference,0.9825815319189385
38,7699,cons,10.0,0.8498986030785856,no difference,0.9825815319189385
39,7699,cons,-10.0,0.816734063589938,no difference,0.9825815319189385
40,7809,unac,10.0,0.11768054325577777,no difference,0.9825815319189385
41,7809,unac,-10.0,0.9559937035633026,no difference,0.9825815319189385
42,7809,cons,10.0,0.0378377833018414,difference,0.9825815319189385
43,7809,cons,-10.0,0.6800353652147636,no difference,0.9825815319189385
44,9064,unac,10.0,0.6308341955135273,no difference,0.9825815319189385
45,9064,unac,-10.0,0.1026526192284133,no difference,0.9825815319189385
46,9064,cons,10.0,0.9825815319189385,no difference,0.9825815319189385
47,9064,cons,-10.0,0.10593010102438717,no difference,0.9825815319189385
48,9093,unac,10.0,0.29046597119691886,no difference,0.9825815319189385
49,9093,unac,-10.0,0.9651197608439144,no difference,0.9825815319189385
50,9093,cons,10.0,0.17499326461302345,no difference,0.9825815319189385
51,9093,cons,-10.0,0.9303662359363952,no difference,0.9825815319189385
