,sample,feature,gender,p_value,mWUT_result,bh
0,2967,unac,Female,1.0,no difference,1.0
1,2967,unac,Male,0.7090945195477467,no difference,1.0
2,2967,cons,Female,1.0,no difference,1.0
3,2967,cons,Male,1.0,no difference,1.0
4,2994,unac,Female,0.976650603727983,no difference,1.0
5,2994,unac,Male,0.19094217831257587,no difference,1.0
6,2994,cons,Female,1.0,no difference,1.0
7,2994,cons,Male,0.6008946630407594,no difference,1.0
8,3913,unac,Female,0.8152104815261592,no difference,1.0
9,3913,unac,Male,0.5791702326082526,no difference,1.0
10,3913,cons,Female,0.815117232526918,no difference,1.0
11,3913,cons,Male,0.29507470117512313,no difference,1.0
12,4382,unac,Female,0.7149291544189997,no difference,1.0
13,4382,unac,Male,0.8714690350759464,no difference,1.0
14,4382,cons,Female,0.7855043929633192,no difference,1.0
15,4382,cons,Male,0.8428551120676203,no difference,1.0
16,5213,unac,Female,0.7291913592318704,no difference,1.0
17,5213,unac,Male,0.8001153981388982,no difference,1.0
18,5213,cons,Female,0.5186388785667884,no difference,1.0
19,5213,cons,Male,0.7126587606330282,no difference,1.0
20,6037,unac,Female,0.3906676384102383,no difference,1.0
21,6037,unac,Male,0.567019000865072,no difference,1.0
22,6037,cons,Female,0.37243147834016654,no difference,1.0
23,6037,cons,Male,0.6621761416446039,no difference,1.0
24,f51c,unac,Female,0.7987171904131782,no difference,1.0
25,f51c,unac,Male,0.7096097344696984,no difference,1.0
26,f51c,cons,Female,0.8428095075481531,no difference,1.0
27,f51c,cons,Male,0.876575178905156,no difference,1.0
28,fbed,unac,Female,0.38492866501430345,no difference,1.0
29,fbed,unac,Male,0.9683444219547217,no difference,1.0
30,fbed,cons,Female,0.5929774186053438,no difference,1.0
31,fbed,cons,Male,0.9841642681266639,no difference,1.0
32,fd2b,unac,Female,0.1562448429012845,no difference,1.0
33,fd2b,unac,Male,0.8268823757564197,no difference,1.0
34,fd2b,cons,Female,0.3736005392319882,no difference,1.0
35,fd2b,cons,Male,0.9612258932693596,no difference,1.0
36,7699,unac,Female,0.7621255776518352,no difference,1.0
37,7699,unac,Male,0.322527379353326,no difference,1.0
38,7699,cons,Female,1.0,no difference,1.0
39,7699,cons,Male,0.8639829851212502,no difference,1.0
40,7809,unac,Female,0.22628461921980247,no difference,1.0
41,7809,unac,Male,0.5840203302633604,no difference,1.0
42,7809,cons,Female,0.11154697127950734,no difference,1.0
43,7809,cons,Male,0.2969224368311666,no difference,1.0
44,9064,unac,Female,0.011186432326193287,difference,0.5816944809620509
45,9064,unac,Male,1.0,no difference,1.0
46,9064,cons,Female,0.041450683970198736,difference,0.9840943264521977
47,9064,cons,Male,0.9448437401572907,no difference,1.0
48,9093,unac,Female,0.8832134397025185,no difference,1.0
49,9093,unac,Male,0.2822418285642784,no difference,1.0
50,9093,cons,Female,0.9765620263430934,no difference,1.0
51,9093,cons,Male,0.05677467267993449,no difference,0.9840943264521977
