,id,sample,unac,cons,submitdate,lastpage,lan,seed,startdate,datestamp,gender,age,english,pre_happy,difficulties,post_happy,own_definition,synthetic_voices,daily_encounter,negative_experience,familiar_definition,agree_definition,verification,user_comment,voice_gender,google_pitch,sample_id
0,2,01_sample_22967_p-10_f.wav,29.0,13.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,22967
1,2,02_sample_22967_p-10_m.wav,25.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,22967
2,2,03_sample_22967_p+10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,22967
3,2,04_sample_22967_p+10_m.wav,43.0,16.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,22967
4,2,05_sample_2994_p-10_f.wav,79.0,56.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,2994
5,2,06_sample_2994_p-10_m.wav,82.0,71.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,2994
6,2,07_sample_2994_p+10_f.wav,88.0,79.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,2994
7,2,08_sample_2994_p+10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,2994
8,2,09_sample_3913_p-10_f.wav,40.0,14.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,3913
9,2,10_sample_3913_p-10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,3913
10,2,11_sample_3913_p+10_f.wav,12.0,3.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,3913
11,2,12_sample_3913_p+10_m.wav,21.0,9.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,3913
12,2,13_sample_4382_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,4382
13,2,14_sample_4382_p-10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,4382
14,2,15_sample_4382_p+10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,4382
15,2,16_sample_4382_p+10_m.wav,83.0,67.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,4382
16,2,17_sample_5213_p-10_f.wav,14.0,4.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,5213
17,2,18_sample_5213_p-10_m.wav,25.0,13.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,5213
18,2,19_sample_5213_p+10_f.wav,18.0,6.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,5213
19,2,20_sample_5213_p+10_m.wav,20.0,7.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,5213
20,2,21_sample_6037_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,6037
21,2,22_sample_6037_p-10_m.wav,15.0,6.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,6037
22,2,23_sample_6037_p+10_f.wav,18.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,6037
23,2,24_sample_6037_p+10_m.wav,12.0,5.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,6037
24,2,25_sample_60c5d6bf5659ea5e55def51c_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,60c5d6bf5659ea5e55def51c
25,2,26_sample_60c5d6bf5659ea5e55def51c_p-10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,60c5d6bf5659ea5e55def51c
26,2,trickQuestion,0.0,99.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,,,
27,2,27_sample_60c5d6bf5659ea5e55def51c_p+10_f.wav,9.0,2.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,60c5d6bf5659ea5e55def51c
28,2,28_sample_60c5d6bf5659ea5e55def51c_p+10_m.wav,14.0,6.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,60c5d6bf5659ea5e55def51c
29,2,29_sample_60c5d6bf5659ea5e55defbed_p-10_f.wav,57.0,41.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,60c5d6bf5659ea5e55defbed
30,2,30_sample_60c5d6bf5659ea5e55defbed_p-10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,60c5d6bf5659ea5e55defbed
31,2,31_sample_60c5d6bf5659ea5e55defbed_p+10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,60c5d6bf5659ea5e55defbed
32,2,32_sample_60c5d6bf5659ea5e55defbed_p+10_m.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,60c5d6bf5659ea5e55defbed
33,2,33_sample_60c5d6bf5659ea5e55defd2b_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,60c5d6bf5659ea5e55defd2b
34,2,34_sample_60c5d6bf5659ea5e55defd2b_p-10_m.wav,45.0,15.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,60c5d6bf5659ea5e55defd2b
35,2,35_sample_60c5d6bf5659ea5e55defd2b_p+10_f.wav,20.0,11.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,60c5d6bf5659ea5e55defd2b
36,2,36_sample_60c5d6bf5659ea5e55defd2b_p+10_m.wav,25.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,60c5d6bf5659ea5e55defd2b
37,2,37_sample_7699_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,7699
38,2,38_sample_7699_p-10_m.wav,96.0,78.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,7699
39,2,39_sample_7699_p+10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,10.0,7699
40,2,40_sample_7699_p+10_m.wav,19.0,10.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,10.0,7699
41,2,41_sample_7809_p-10_f.wav,,,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Female,-10.0,7809
42,2,42_sample_7809_p-10_m.wav,22.0,7.0,2023-11-05 16:56:11,59,en,120022409,2023-11-05 16:46:44,2023-11-05 16:46:44,Male,29,Fluent,80,No,78,Using foul language against a group of people,1,90,Yes,Yes,Yes,Yes,,Male,-10.0,7809
