,index,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,9,9,3,1,2,0,1,""" :hobbies include: fighting Mariam"" bitch"
1,14,14,3,1,2,0,1,""" bitch get up off me """
2,17,17,3,1,2,0,1,""" bitch who do you love """
3,49,49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """
4,50,50,3,1,2,0,1,""" we dont trust these niggas all these bitches """
5,69,69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
6,77,77,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
7,79,79,3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
8,90,91,3,1,2,0,1,"""@CCobey: happy birthday nigs"" Thanks yo"
9,99,100,3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
10,113,114,3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
11,138,139,3,1,2,0,1,"""@HaloTGMG: nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
12,139,141,3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
13,143,145,3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch"
14,191,193,3,1,2,0,1,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
15,222,224,3,1,2,0,1,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
16,226,228,3,1,2,0,1,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
17,229,231,3,1,2,0,1,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
18,252,255,3,1,2,0,1,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
19,256,259,3,1,2,0,1,"""@TheRealRickyB21: y'all come through the front.""bitch I ain't coming"
20,265,268,3,1,2,0,1,"""@Tmacc_GFG: BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout"
21,281,285,3,1,2,0,1,"""@XoXo__Angiee: Bruno fag boy"" you love me."
22,285,289,3,1,2,0,1,"""@YoungRicooo: Happy birthday bitch nigga Thanks pal"
23,289,293,4,1,3,0,1,"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
24,293,297,3,1,2,0,1,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
25,296,300,3,1,2,0,1,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
26,301,306,3,1,2,0,1,"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe.."
27,302,307,3,1,2,0,1,"""@adriwadrri: No love for these fuck niggas"" hoes*"
28,324,329,3,1,2,0,1,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me"
29,328,333,3,1,2,0,1,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."""
30,350,355,3,1,2,0,1,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !"""
31,359,364,3,1,2,0,1,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
32,369,374,3,1,2,0,1,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh"
33,379,384,3,1,0,2,2,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday"" You also called me trash rn"
34,393,398,3,1,2,0,1,"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii....."
35,410,416,3,1,2,0,1,"""@witmyRUDEass: These newly gay bitches don't kno how shit works"""
36,425,431,3,1,2,0,1,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
37,430,436,3,1,2,0,1,"""By the way we do punch bitches."""
38,441,447,3,1,2,0,1,"""Eat the pussy like a real nigga hungry"""
39,451,457,3,1,2,0,1,"""Get your ass back to Detroit ya fuckin' wigger!"""
40,456,463,3,1,2,0,1,"""He married to a white woman... lucky sum-bitch"" - Uncle Ruckus"
41,465,473,3,1,2,0,1,"""I KNOW my shoes dirty as fuck, whatever, bitch. You don't have to call!"" Like, negro... one of the first things they LOOK at is shoes, dog"
42,496,504,3,1,2,0,1,"""I'm comparing KFC to the pussy"""
43,502,510,3,1,2,0,1,"""I'm sorry I fucked yo bitch... But she really dig a nigga"""
44,506,515,3,1,2,0,1,"""If you're a bad bitch put your hands up high"" Every girl in the room starts waving there hands around."
45,509,518,3,1,0,2,2,"""Is that an albino Mexican?"" ""No dad, he's Asian."""
46,511,520,3,1,2,0,1,"""It's allegations, were u in the bedroom? Did u see it?"" Words of a naive &amp; blind bitch. We know ur husband cheated on u. Ramona is dumb!!!"
47,520,529,3,1,2,0,1,"""Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?"""
48,527,536,3,1,2,0,1,"""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!"""
49,544,553,3,1,2,0,1,"""Roberto you are one nasty hoe"""
50,548,557,3,1,2,0,1,"""Shake that Bear ... aka two rednecks having sex on a dead bear"""
51,560,569,6,1,3,2,1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality."
52,572,581,3,1,2,0,1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black"
53,576,585,3,1,2,0,1,"""U got my 200K bitch nigga""--Al Haymon to Antonio Tarver"
54,589,599,4,1,3,0,1,"""Why u being such a little bitch chris you ain't six bitch"" - Allisons Mom"
55,605,615,3,1,2,0,1,"""You and yo boys some pussy cats."""
56,612,622,6,1,5,0,1,"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!"
57,615,625,3,1,2,0,1,"""You talk like a fag and your shit's retarded. But that's cool scro, lot's of tards out there living total kick-ass lives!"""
58,629,639,6,1,5,0,1,"""but pussy is the root of all drama an attribute put up in they head by they mama."""
59,642,652,3,1,2,0,1,"""niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags"""
60,651,661,3,1,2,0,1,"""when guys say ""Latinas &gt;"" they mean the Kim Kardashian looking girls not you bitches that shaped like a mini fridge &amp; smell like tortillas"""
61,654,664,3,1,2,0,1,"""you fucking pussy you couldn't even beat your dick."" - Angry Youtube Comment"
62,1997,2037,6,1,5,0,1,&amp; These bitches bound to get hurt cause a lot of these niggas be playing
63,2038,2079,6,1,5,0,1,' Hate a female that got the mentality of a niggah .
64,2089,2132,3,1,2,0,1,"' O M G you like stop controllin me , I'm like bitch fuck you thought ? She like niggah fuck you mean !"
65,2108,2151,3,1,2,0,1,' These niggahs bitches call they momma tell her come and get'emm ! It's either that it shoot him or shoot whoever with him .
66,2140,2185,3,1,2,0,1,*Does backflip* THISSSSSSSS!!! RT You niggas switch up your opinions like faggots
67,2144,2189,3,1,2,0,1,*Sings* I killed that pussy she died with her eyes open!
68,2181,2226,3,1,2,0,1,.@Buckm00se really does talk like a buck nigger
69,2194,2239,3,1,2,0,1,.@rustyrockets with Putin pushing for land and China completely revamping their armed forces? You're a fucking retard. Stay out my country.
70,2205,2250,3,1,0,2,2,1-100000 You are a semi-evolved monkey that is desperately searching for validation and meaning in life. BBQd you'd be ok with mango salsa.
71,2211,2256,3,1,2,0,1,100s 50s 20s yea I like my money in order bad Asian bitch yea she look just like Kemora
